t	fg	fg	fg
0.775999999999931	0.258707884306288	0.394633818729282	0.130780374877374
0.776099999999931	0.258722730304342	0.394707850337914	0.130831254117025
0.776199999999931	0.25873757412754	0.394781879424862	0.130882131661938
0.776299999999931	0.258752415776753	0.394855905989843	0.130933007511337
0.776399999999931	0.258767255252854	0.394929930032577	0.130983881664449
0.776499999999931	0.258782092556713	0.39500395155278	0.131034754120505
0.776599999999931	0.258796927689201	0.39507797055017	0.131085624878738
0.776699999999931	0.258811760651188	0.395151987024465	0.131136493938382
0.776799999999931	0.258826591443544	0.395226000975381	0.131187361298679
0.776899999999931	0.258841420067137	0.395300012402636	0.131238226958869
0.776999999999931	0.258856246522836	0.395374021305946	0.131289090918198
0.777099999999931	0.25887107081151	0.395448027685028	0.131339953175913
0.777199999999931	0.258885892934025	0.395522031539597	0.131390813731266
0.777299999999931	0.258900712891248	0.395596032869369	0.13144167258351
0.777399999999931	0.258915530684047	0.395670031674061	0.131492529731902
0.777499999999931	0.258930346313287	0.395744027953388	0.131543385175702
0.777599999999931	0.258945159779834	0.395818021707064	0.131594238914173
0.777699999999931	0.258959971084553	0.395892012934806	0.131645090946579
0.777799999999931	0.258974780228308	0.395966001636328	0.131695941272191
0.777899999999931	0.258989587211964	0.396039987811344	0.131746789890278
0.777999999999931	0.259004392036384	0.396113971459569	0.131797636800116
0.778099999999931	0.259019194702431	0.396187952580717	0.131848482000981
0.778199999999931	0.259033995210967	0.396261931174502	0.131899325492154
0.778299999999931	0.259048793562855	0.396335907240638	0.131950167272918
0.778399999999931	0.259063589758957	0.396409880778838	0.132001007342558
0.778499999999931	0.259078383800132	0.396483851788815	0.132051845700364
0.778599999999931	0.259093175687243	0.396557820270283	0.132102682345627
0.778699999999931	0.259107965421149	0.396631786222954	0.132153517277641
0.778799999999931	0.259122753002709	0.396705749646541	0.132204350495703
0.778899999999931	0.259137538432783	0.396779710540756	0.132255181999115
0.778999999999931	0.25915232171223	0.396853668905311	0.132306011787179
0.779099999999931	0.259167102841907	0.396927624739919	0.132356839859201
0.779199999999931	0.259181881822672	0.39700157804429	0.132407666214489
0.77929999999993	0.259196658655382	0.397075528818137	0.132458490852355
0.77939999999993	0.259211433340894	0.397149477061171	0.132509313772114
0.77949999999993	0.259226205880065	0.397223422773102	0.132560134973082
0.77959999999993	0.259240976273748	0.397297365953642	0.13261095445458
0.77969999999993	0.259255744522801	0.397371306602501	0.13266177221593
0.77979999999993	0.259270510628077	0.39744524471939	0.132712588256458
0.77989999999993	0.259285274590431	0.397519180304018	0.132763402575492
0.77999999999993	0.259300036410716	0.397593113356095	0.132814215172363
