t	Rg	Rg	Rg
1.88159999999981	7.67452139347207E-05	0.00141661687856216	0.00990321382599592
1.88169999999981	7.67458462666647E-05	0.00141666067864607	0.00990356326815372
1.88179999999981	7.67464785733355E-05	0.00141670446965373	0.00990391271070891
1.88189999999981	7.67471108547361E-05	0.00141674825158157	0.00990426215366353
1.88199999999981	7.67477431108697E-05	0.00141679202442605	0.00990461159701963
1.88209999999981	7.67483753417393E-05	0.00141683578818361	0.00990496104077924
1.88219999999981	7.67490075473478E-05	0.0014168795428507	0.00990531048494439
1.88229999999981	7.67496397276984E-05	0.00141692328842376	0.00990565992951713
1.88239999999981	7.67502718827942E-05	0.00141696702489925	0.0099060093744995
1.88249999999981	7.6750904012638E-05	0.00141701075227362	0.00990635881989353
1.88259999999981	7.67515361172331E-05	0.00141705447054331	0.00990670826570126
1.88269999999981	7.67521681965824E-05	0.00141709817970478	0.00990705771192473
1.88279999999981	7.67528002506891E-05	0.00141714187975449	0.00990740715856597
1.88289999999981	7.6753432279556E-05	0.00141718557068889	0.00990775660562703
1.88299999999981	7.67540642831863E-05	0.00141722925250444	0.00990810605310994
1.88309999999981	7.67546962615831E-05	0.0014172729251976	0.00990845550101673
1.88319999999981	7.67553282147493E-05	0.00141731658876482	0.00990880494934946
1.88329999999981	7.6755960142688E-05	0.00141736024320256	0.00990915439811014
1.88339999999981	7.67565920454022E-05	0.0014174038885073	0.00990950384730083
1.88349999999981	7.67572239228951E-05	0.00141744752467549	0.00990985329692355
1.88359999999981	7.67578557751695E-05	0.00141749115170359	0.00991020274698034
1.88369999999981	7.67584876022287E-05	0.00141753476958807	0.00991055219747325
1.88379999999981	7.67591194040755E-05	0.0014175783783254	0.0099109016484043
1.88389999999981	7.67597511807131E-05	0.00141762197791205	0.00991125109977553
1.88399999999981	7.67603829321445E-05	0.00141766556834449	0.00991160055158899
1.88409999999981	7.67610146583727E-05	0.00141770914961918	0.0099119500038467
